27.9	7.0	8.7	2	
26.4	8.9	9.7	1	
24.6	4.4	6.6	1	
25.5	4.7	6.8	1	
22.2	4.8	10.3	1	
23.7	6.8	4.2	3	
24.4	10.9	4.1	5	
26.3	10.5	2.5	4	
22.8	7.4	7.5	4	
22.2	9.3	5.3	4	
22.3	12.9	2.8	5	
21.7	3.5	3.9	2	
21.0	3.6	5.6	1	
23.1	5.1	4.0	2	
23.0	3.6	5.5	1	
19.1	5.0	6.5	1	
21.0	4.5	2.6	2	
20.1	3.7	5.9	1	
21.5	3.6	2.5	2	
22.1	3.6	3.8	2	
20.0	5.6	4.9	3	
25.0	7.9	4.8	3	
17.6	4.1	4.6	2	
17.4	7.8	3.7	4	
18.7	4.9	6.0	1	
19.6	6.1	3.3	4	
22.4	7.9	5.1	4	
18.5	3.8	5.8	1	
17.5	7.4	4.2	5	
15.5	3.8	7.9	1	
17.7	10.0	5.2	5	
16.1	4.6	3.2	2	
17.6	4.8	4.1	2	
15.7	9.7	2.2	4	
16.3	14.1	0.9	5	
27.9	7.0	8.7	2	
26.4	8.9	9.7	1	
24.6	4.4	6.6	1	
25.5	4.7	6.8	1	
22.2	4.8	10.3	1	
23.7	6.8	4.2	3	
24.4	10.9	4.1	5	
26.3	10.5	2.5	4	
22.8	7.4	7.5	4	
22.2	9.3	5.3	4	
22.3	12.9	2.8	5	
21.7	3.5	3.9	2	
21.0	3.6	5.6	1	
23.1	5.1	4.0	2	
23.0	3.6	5.5	1	
19.1	5.0	6.5	1	
21.0	4.5	2.6	2	
20.1	3.7	5.9	1	
21.5	3.6	2.5	2	
22.1	3.6	3.8	2	
20.0	5.6	4.9	3	
25.0	7.9	4.8	3	
17.6	4.1	4.6	2	
17.4	7.8	3.7	4	
18.7	4.9	6.0	1	
19.6	6.1	3.3	4	
22.4	7.9	5.1	4	
18.5	3.8	5.8	1	
17.5	7.4	4.2	5	
15.5	3.8	7.9	1	
17.7	10.0	5.2	5	
16.1	4.6	3.2	2	
17.6	4.8	4.1	2	
15.7	9.7	2.2	4	
16.3	14.1	0.9	5	
27.9	7.0	8.7	2	
26.4	8.9	9.7	1	
24.6	4.4	6.6	1	
25.5	4.7	6.8	1	
22.2	4.8	10.3	1	
23.7	6.8	4.2	3	
24.4	10.9	4.1	5	
26.3	10.5	2.5	4	
22.8	7.4	7.5	4	
22.2	9.3	5.3	4	
22.3	12.9	2.8	5	
21.7	3.5	3.9	2	
21.0	3.6	5.6	1	
23.1	5.1	4.0	2	
23.0	3.6	5.5	1	
19.1	5.0	6.5	1	
21.0	4.5	2.6	2	
20.1	3.7	5.9	1	
21.5	3.6	2.5	2	
22.1	3.6	3.8	2	
20.0	5.6	4.9	3	
25.0	7.9	4.8	3	
17.6	4.1	4.6	2	
17.4	7.8	3.7	4	
18.7	4.9	6.0	1	
19.6	6.1	3.3	4	
22.4	7.9	5.1	4	
18.5	3.8	5.8	1	
17.5	7.4	4.2	5	
15.5	3.8	7.9	1	
17.7	10.0	5.2	5	
16.1	4.6	3.2	2	
17.6	4.8	4.1	2	
15.7	9.7	2.2	4	
16.3	14.1	0.9	5	
27.9	7.0	8.7	2	
26.4	8.9	9.7	1	
24.6	4.4	6.6	1	
25.5	4.7	6.8	1	
22.2	4.8	10.3	1	
23.7	6.8	4.2	3	
24.4	10.9	4.1	5	
26.3	10.5	2.5	4	
22.8	7.4	7.5	4	
22.2	9.3	5.3	4	
22.3	12.9	2.8	5	
21.7	3.5	3.9	2	
21.0	3.6	5.6	1	
23.1	5.1	4.0	2	
23.0	3.6	5.5	1	
19.1	5.0	6.5	1	
21.0	4.5	2.6	2	
20.1	3.7	5.9	1	
21.5	3.6	2.5	2	
22.1	3.6	3.8	2	
20.0	5.6	4.9	3	
25.0	7.9	4.8	3	
17.6	4.1	4.6	2	
17.4	7.8	3.7	4	
18.7	4.9	6.0	1	
19.6	6.1	3.3	4	
22.4	7.9	5.1	4	
18.5	3.8	5.8	1	
17.5	7.4	4.2	5	
15.5	3.8	7.9	1	
17.7	10.0	5.2	5	
16.1	4.6	3.2	2	
17.6	4.8	4.1	2	
15.7	9.7	2.2	4	
16.3	14.1	0.9	5	
27.9	7.0	8.7	2	
26.4	8.9	9.7	1	
24.6	4.4	6.6	1	
25.5	4.7	6.8	1	
22.2	4.8	10.3	1	
23.7	6.8	4.2	3	
24.4	10.9	4.1	5	
26.3	10.5	2.5	4	
22.8	7.4	7.5	4	
22.2	9.3	5.3	4	
22.3	12.9	2.8	5	
21.7	3.5	3.9	2	
21.0	3.6	5.6	1	
23.1	5.1	4.0	2	
23.0	3.6	5.5	1	
19.1	5.0	6.5	1	
21.0	4.5	2.6	2	
20.1	3.7	5.9	1	
21.5	3.6	2.5	2	
22.1	3.6	3.8	2	
20.0	5.6	4.9	3	
25.0	7.9	4.8	3	
17.6	4.1	4.6	2	
17.4	7.8	3.7	4	
18.7	4.9	6.0	1	
19.6	6.1	3.3	4	
22.4	7.9	5.1	4	
18.5	3.8	5.8	1	
17.5	7.4	4.2	5	
15.5	3.8	7.9	1	
17.7	10.0	5.2	5	
16.1	4.6	3.2	2	
17.6	4.8	4.1	2	
15.7	9.7	2.2	4	
16.3	14.1	0.9	5	
